all_api,select_api_50,443_api 48_important,permission,intent
android.app.ActivityManager/getRunningAppProcesses,android.app.ActivityManager/getRunningAppProcesses,android.app.Application/attachBaseContext,,ACTION_CALL
android.app.admin.DevicePolicyManager/getWifiMacAddress,android.app.admin.DevicePolicyManager/getWifiMacAddress,android.app.Instrumentation/callActivityOnNewIntent,,ACTION_CAMERA_BUTTON
android.app.Application/attachBaseContext,android.app.ApplicationPackageManager/getApplicationInfo,android.app.Instrumentation/callActivityOnPostCreate,,ACTION_DELETE
android.app.ApplicationPackageManager/getApplicationInfo,android.app.ApplicationPackageManager/getInstalledApplications,android.app.Instrumentation/callActivityOnSaveInstanceState,,ACTION_DIAL
android.app.ApplicationPackageManager/getInstalledApplications,android.app.ApplicationPackageManager/getInstalledPackages,android.app.Instrumentation/callActivityOnStart,,ACTION_GET_CONTENT
android.app.ApplicationPackageManager/getInstalledPackages,android.app.ApplicationPackageManager/getInstallerPackageName,android.app.Instrumentation/callActivityOnUserLeaving,,ACTION_IMAGE_CAPTURE
android.app.ApplicationPackageManager/getInstallerPackageName,android.app.ApplicationPackageManager/getPackageInfoAsUser,android.content.ContextWrapper/sendBroadcast,,ACTION_PACKAGE_ADDED
android.app.ApplicationPackageManager/getPackageInfoAsUser,android.app.ApplicationPackageManager/queryIntentActivities,android.content.res.Configuration/setToDefaults,,ACTION_PACKAGE_ADDED
android.app.ApplicationPackageManager/queryIntentActivities,android.bluetooth.BluetoothAdapter/getName,android.database.sqlite.SQLiteDatabase/delete,,ACTION_PICK
android.app.Instrumentation/callActivityOnNewIntent,android.bluetooth.BluetoothDevice/getAddress,android.database.sqlite.SQLiteDatabase/insertWithOnConflict,,ACTION_SEND
android.app.Instrumentation/callActivityOnPostCreate,android.bluetooth.BluetoothDevice/getName,android.database.sqlite.SQLiteDatabase/isOpen,,ACTION_SENDTO
android.app.Instrumentation/callActivityOnSaveInstanceState,android.content.ClipboardManager/getPrimaryClip,android.database.sqlite.SQLiteDatabase/query,,ACTION_VIEW
android.app.Instrumentation/callActivityOnStart,android.content.pm.PackageManager/getInstalledApplications,android.net.NetworkInfo/isAvailable,,ACTION_WEB_SEARCH
android.app.Instrumentation/callActivityOnUserLeaving,android.content.pm.PackageManager/getInstalledPackages,android.os.Environment/getExternalStorageDirectory,,EXTRA_CC
android.bluetooth.BluetoothAdapter/getName,android.hardware.Camera/open,android.os.HandlerThread/isAlive,,EXTRA_EMAIL
android.bluetooth.BluetoothDevice/getAddress,android.hardware.camera2.CameraManager.Camera/openCamera,android.telephony.TelephonyManager/getDeviceId,,EXTRA_OUTPUT
android.bluetooth.BluetoothDevice/getName,android.location.LocationManager/getLastKnownLocation,android.telephony.TelephonyManager/getSubscriberId,,EXTRA_STREAM
android.content.ClipboardManager/getPrimaryClip,android.location.LocationManager/requestLocationUpdates,android.telephony.TelephonyManager/listen,,EXTRA_SUBJECT
android.content.ContextWrapper/sendBroadcast,android.net.NetworkInfo/getExtraInfo,android.util.Base64/decode,,EXTRA_TEXT
android.content.pm.PackageManager/getInstalledApplications,android.net.NetworkInfo/getType,android.util.Base64/encode,,INTERNAL_CONTENT_URI
android.content.pm.PackageManager/getInstalledPackages,android.net.NetworkInfo/getTypeName,android.view.ViewGroup/addView,,KEY_ACTION_SENDTO_COMPOSE_MODE
android.content.res.Configuration/setToDefaults,android.net.NetworkInfo/isConnected,android.webkit.WebView/getVisibility,,KEY_ACTION_SENDTO_CONTENT_URI
android.database.sqlite.SQLiteDatabase/delete,android.net.wifi.WifiInfo/getBSSID,android.widget.EditText/getContext,,KEY_ACTION_SENDTO_EXIT_ON_SENT
