all_api,cuckoo+droidmon,Restricted API,Highly-Correlation API,Sensitive Operation/API
android.telephony.TelephonyManager/getDeviceId,android.telephony.TelephonyManager/getDeviceId,android.provider.ContactsContract/set,android.telephony.SmsManager/sendTextMessage,java.lang.Runtime/getRuntime
android.telephony.TelephonyManager/getSubscriberId,android.telephony.TelephonyManager/getSubscriberId,android.provider.Browser/updateVisitedHistory,android.telephony.SmsManager/getDefault,java.lang.Runtime/exec
android.telephony.TelephonyManager/getLine1Number,android.telephony.TelephonyManager/getLine1Number,android.location.LocationManager/sendExtraCommand,android.telephony.SmsManager/sendDataMessage,java.lang.ProcessBuilder/start
android.telephony.TelephonyManager/getNetworkOperator,android.telephony.TelephonyManager/getNetworkOperator,android.provider.Browser/addSearchUrl,android.net.wifi.WifiManager/setWifiEnabled,java.lang.Runtime/load
android.telephony.TelephonyManager/getNetworkOperatorName,android.telephony.TelephonyManager/getNetworkOperatorName,android.location.LocationManager/requestLocationUpdates,android.telephony.TelephonyManager/getLine1Number,java.lang.Runtime/loadLibrary
android.telephony.TelephonyManager/getSimOperatorName,android.telephony.TelephonyManager/getSimOperatorName,android.net.sip.SipManager/createSipSession,java.io.DataInputStream/readLine,android.os.Environment/getDataDirectory
android.net.wifi.WifiInfo/getMacAddress,android.net.wifi.WifiInfo/getMacAddress,android.location.LocationManager/addNmeaListener,android.telephony.SmsMessage/createFromPdu,android.os.Environment/getDownloadCacheDirectory
android.telephony.TelephonyManager/getSimCountryIso,android.telephony.TelephonyManager/getSimCountryIso,android.telephony.SmsManager/divideMessage,java.security.InvalidAlgorithmParameterException/printStackTrace,android.os.Environment/getExternalStorageDirectory
android.telephony.TelephonyManager/getSimSerialNumber,android.telephony.TelephonyManager/getSimSerialNumber,android.net.sip.SipManager/register,android.net.Proxy/getDefaultPort,android.os.Environment/getExternalStoragePublicDirectory
android.telephony.TelephonyManager/getNetworkCountryIso,android.telephony.TelephonyManager/getNetworkCountryIso,android.location.LocationManager/getProvider,java.security.Key/getEncoded,android.os.Environment/getRootDirectory
android.telephony.TelephonyManager/getDeviceSoftwareVersion,android.telephony.TelephonyManager/getDeviceSoftwareVersion,android.telephony.TelephonyManager/getCellLocation,android.net.Proxy/getDefaultHost,android.os.storage.StorageManager/getPrimaryStorageVolume
android.os.Debug/isDebuggerConnected,android.os.Debug/isDebuggerConnected,android.provider.ContactsContract/getContactLookupUri,android.telephony.TelephonyManager/getSimSerialNumber,android.os.storage.StorageManager/getStorageVolumes
android.app.SharedPreferencesImpl$EditorImpl/putString,android.app.SharedPreferencesImpl$EditorImpl/putString,android.telephony.TelephonyManager/getDeviceSoftwareVersion,android.app.Application/onCreate,java.io.File/createNewFile
android.app.SharedPreferencesImpl$EditorImpl/putBoolean,android.app.SharedPreferencesImpl$EditorImpl/putBoolean,android.app.DownloadManager/getUriForDownloadedFile,android.content.IntentFilter/setPriority,java.io.File/delete
